,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,Yoga Sunburst,0x668b626a026Abb31C413A8847fe1D0fb9AFc1cB0,3,134,2.39,3.25,6.8,5.35,0.14,6.05,Male,Klin,Epic,0.28,37,97,7.85,13,12,4,1997
0,GOT7-J,0x6008a5c0b92D18b9F3ABbc592ea0f4C4eA40a189,2,283,2.57,4.72,1.74,6.98,1.08,0.77,Female,Zan,Pacer,0.24,67,216,7.14,8,12,5,1498
0,Bronzeseeker,0xc822993279A7618dC8399c22C23037Da6c8F3023,3,274,3.94,3.67,2.91,0.71,0.3,4.77,Male,Hoz,Pacer,0.2,56,218,7.44,6,6,10,1154
0,Captain Dynamite,0xe6787a6eA1C9FaA825C26640ccA4B43C3d8b8d95,3,269,3.27,6.09,6.6,2.53,6.13,1.93,Female,Campona,Pacer,0.25,67,202,8.09,6,6,8,1102
0,Morfyus 1,0x61eACe08A6Ab82a12bFFaA54cF538020e33644FF,2,279,6.48,1.57,3.88,8.02,1.78,1.86,Female,Campona,Pacer,0.39,108,171,5.14,23,10,11,3141
0,Ouranos,0x89583f36Ab9d0EA2d8791c5CA14F8b2b01339022,3,240,3.79,5.84,4.9,5.14,3.11,3.69,Female,Campona,Pacer,0.14,33,207,7.65,3,7,5,753
0,BEBEBATA | 152,0xdDfdcEeC83d6070D50C070010E3be702225da39E,3,276,2.96,8.06,7.26,5.66,4.7,1.52,Male,Hoz,Pacer,0.18,49,227,8.37,5,9,5,1051
0,BREEZE,0xc8823Fa302D4B3c5C01e19B51538A47AB2971825,3,265,5.03,2.57,1.65,5.76,7.53,5.97,Male,Hoz,Pacer,0.3,79,186,6.39,8,13,8,1620
0,Birdy15,0xEe6E95204b2eb15A67E8c9d9F103e8151115eBd4,3,270,8.77,0.26,6.49,8.97,3.87,7.89,Female,Campona,Legendary,0.5,135,135,4.14,36,11,10,4524
0,Vivo,0x59B7741b3e31c2252f7ab43E01209ab5A4d92cbE,2,275,3.46,4.89,7.85,7.11,3.12,0.88,Female,Zan,Rare,0.2,56,219,8.41,11,8,4,1611
